m	g	1278
m	w	4890
A	m	1064
m	x	2654
A	k	1087
a	r	1781
a	S	2247
A	l	251
m	p	4765
m	B	1793
e	w	1963
u	w	722
e	b	375
e	r	657
w	x	574
e	x	1060
A	n	897
a	B	2089
a	i	1079
e	y	852
m	A	1552
i	B	615
u	y	402
A	S	828
w	w	1279
a	j	1203
u	k	559
w	K	29
a	w	4773
a	x	2544
a	h	1461
w	b	335
i	v	1426
a	A	1124
e	k	1087
m	k	3324
w	s	1181
e	m	1131
e	n	1319
a	v	4940
i	p	1309
e	B	575
A	A	311
O	v	268
A	p	1717
A	x	986
A	b	412
A	B	739
i	h	294
A	s	1733
a	g	1244
i	g	260
m	r	1313
A	h	497
w	y	513
w	j	281
A	e	950
i	S	598
m	b	1103
a	b	1080
A	j	359
i	m	1086
a	p	4621
a	y	2185
w	P	92
A	G	57
a	X	747
e	a	801
n	x	328
e	j	388
i	r	473
m	j	1167
m	I	149
O	c	244
w	e	480
a	O	38
u	p	631
e	G	68
u	x	426
O	w	319
u	m	529
u	c	503
i	s	1610
n	w	476
m	a	4186
I	v	129
I	w	153
m	h	1134
u	s	804
I	c	196
m	C	73
w	m	480
n	s	442
n	A	128
i	x	697
m	X	704
m	i	2211
w	i	421
i	j	350
w	u	448
w	A	400
i	k	988
O	k	174
i	y	758
A	u	668
i	X	231
i	u	382
u	b	110
w	v	1125
i	R	47
e	e	145
u	h	73
k	X	8
I	p	147
u	U	5
w	G	43
u	S	309
I	k	134
u	u	86
O	x	196
O	B	89
I	S	99
e	X	243
e	g	391
u	j	131
k	P	2
i	P	32
k	p	71
k	B	43
w	p	1137
u	g	175
w	S	523
w	a	1012
w	l	150
n	k	384
e	i	186
w	c	962
i	l	206
a	P	103
A	C	30
w	r	356
u	v	731
I	y	83
I	g	49
O	y	115
u	r	314
u	K	28
n	c	625
A	X	268
w	h	218
A	I	19
m	E	42
I	b	45
O	m	211
i	K	76
m	P	98
i	c	1726
A	g	472
i	a	1223
n	j	136
i	e	614
w	n	438
i	A	342
O	g	68
k	c	41
w	q	82
u	a	395
A	a	1140
i	i	539
O	s	228
e	l	216
n	h	131
A	i	478
n	S	204
A	R	12
I	s	217
e	R	9
A	y	732
k	w	28
I	j	71
a	K	107
O	p	257
k	s	40
e	A	46
i	b	247
u	X	107
I	m	127
I	B	116
I	n	117
n	p	491
n	l	7
E	a	3
u	l	157
m	K	120
w	B	460
O	j	76
u	R	14
I	x	82
a	G	91
k	y	14
e	h	379
w	U	14
u	B	291
E	k	67
E	v	82
E	h	27
n	b	173
n	r	172
m	O	34
E	m	55
a	R	56
w	R	14
A	K	32
O	l	24
t	s	5
O	n	137
I	i	72
n	a	493
a	U	36
n	q	49
a	q	37
k	i	21
k	g	9
E	g	27
m	q	169
w	I	20
I	l	32
n	g	122
n	e	183
n	i	228
k	k	32
k	A	14
n	X	73
A	P	30
n	y	173
I	X	25
m	G	171
E	s	109
e	P	47
O	r	136
e	u	38
a	C	47
E	n	143
I	I	3
w	X	40
I	u	135
n	B	173
e	C	23
u	i	147
k	m	20
a	I	56
a	o	16
E	B	38
O	K	8
i	I	11
O	h	63
E	w	80
E	b	35
I	e	2
w	o	3
k	r	10
E	p	107
O	b	54
m	J	2
a	E	20
U	k	3
k	n	5
m	R	45
u	e	129
E	c	17
e	q	16
e	K	36
i	O	8
n	m	160
o	k	17
u	P	13
u	G	14
E	l	17
k	x	31
m	U	45
u	A	97
U	m	2
o	w	8
n	u	88
i	G	29
O	S	94
m	o	21
E	y	51
m	d	3
e	U	4
E	j	27
A	q	16
e	o	1
I	a	30
E	x	102
i	U	14
k	q	6
i	o	3
I	h	31
O	X	29
i	C	20
k	S	21
k	a	44
U	w	6
O	C	12
n	K	19
n	G	21
u	O	1
U	v	3
o	s	17
n	n	133
O	e	44
n	O	1
O	A	22
O	i	86
U	i	3
O	a	96
U	l	2
A	U	7
E	S	39
U	s	3
u	q	15
k	v	48
o	p	10
O	q	8
U	B	2
O	u	73
O	G	12
i	q	13
n	E	1
k	u	18
n	U	6
O	U	18
n	C	3
o	S	8
t	y	3
n	P	5
U	j	5
u	C	9
E	e	14
t	A	1
O	P	3
E	X	18
w	E	9
o	c	2
k	b	5
U	p	7
O	O	1
U	n	3
U	c	8
w	C	9
A	o	1
m	t	3
n	R	1
w	O	4
p	C	1
I	G	3
t	w	4
t	r	1
k	j	12
i	E	1
A	O	2
k	l	1
I	K	3
n	t	1
u	E	3
U	U	1
t	a	4
i	t	1
k	e	13
A	E	5
U	h	2
t	B	6
I	P	2
k	h	4
E	A	1
O	R	1
E	G	2
t	i	6
U	X	1
t	b	1
I	A	4
U	a	1
U	A	1
o	i	2
u	t	1
E	K	1
E	P	3
t	m	1
U	S	3
k	U	1
U	x	1
E	i	1
E	q	2
k	O	1
k	I	3
E	R	2
A	t	1
t	c	2
I	q	1
u	I	1
t	l	1
t	S	1
t	v	1
t	X	1
t	k	1
t	j	1
a	d	1
t	p	1
I	C	2
U	y	1
n	I	1
U	b	1
